Country Name,Country Code,2015,exp
Channel Islands,CHI,,#NUM!
Eritrea,ERI,,#NUM!
Gibraltar,GIB,,#NUM!
Not classified,INX,,#NUM!
St. Martin (French part),MAF,,#NUM!
"Korea, Dem. People's Rep.",PRK,,#NUM!
"Venezuela, RB",VEN,,#NUM!
British Virgin Islands,VGB,,#NUM!
Kuwait,KWT,1.14567E+11,25.46442851
Morocco,MAR,1.10414E+11,25.42750636
Puerto Rico,PRI,1.03376E+11,25.36163409
Ecuador,ECU,99290381000,25.3213148
Ukraine,UKR,91030959455,25.23446576
Slovak Republic,SVK,88900883131,25.21078818
Angola,AGO,87219300385,25.19169174
Cuba,CUB,87133000000,25.19070179
Uzbekistan,UZB,86196265192,25.17989295
Sri Lanka,LKA,85140963537,25.16757438
Sudan,SDN,84985132167,25.16574243
Oman,OMN,78710793238,25.08904639
Caribbean small states,CSS,75669285316,25.04963844
Dominican Republic,DOM,71164825257,24.98826477
Kenya,KEN,70120413329,24.97348005
Ethiopia,ETH,64589334979,24.8913154
Myanmar,MMR,63045305229,24.8671197
Guatemala,GTM,62186186576,24.85339899
Luxembourg,LUX,60071584216,24.81880302
Belarus,BLR,56454734397,24.75670525
Costa Rica,CRI,56441917653,24.7564782
Panama,PAN,54091800000,24.7139487
Uruguay,URY,53274304222,24.69872021
Azerbaijan,AZE,53074370486,24.69496024
Bulgaria,BGR,50781996713,24.65080799
Croatia,HRV,50242783066,24.64013301
Lebanon,LBN,49929337837,24.63387486
Ghana,GHA,49406568433,24.62334947
Libya,LBY,48717854040,24.60931167
Tanzania,TZA,47378603784,24.58143682
Cote d'Ivoire,CIV,45814637971,24.54786974
Tunisia,TUN,45780077488,24.5471151
"Macao SAR, China",MAC,45047964934,24.5309939
Slovenia,SVN,43107506024,24.48696323
"Yemen, Rep.",YEM,42444495590,24.47146333
Lithuania,LTU,41435533340,24.4474049
Serbia,SRB,39655958843,24.40350732
Jordan,JOR,38587017944,24.37618199
"Congo, Dem. Rep.",COD,37917704900,24.35868424
Paraguay,PRY,36211447840,24.3126414
Turkmenistan,TKM,35799714286,24.301206
Bolivia,BOL,33000198248,24.21977966
Uganda,UGA,32387183845,24.20102887
Cameroon,CMR,32210232912,24.19555028
Bahrain,BHR,31050638298,24.15888546
Latvia,LVA,27263090547,24.02879988
Trinidad and Tobago,TTO,26851970254,24.01360529
Nepal,NPL,24360795411,23.91624118
El Salvador,SLV,23438240000,23.87763496
Estonia,EST,22890762090,23.85399951
Papua New Guinea,PNG,21723531173,23.80166215
Zambia,ZMB,21251216799,23.77968024
Honduras,HND,20979767785,23.76682462
Afghanistan,AFG,19998156214,23.71890617
Zimbabwe,ZWE,19963120610,23.71715269
Cyprus,CYP,19909190059,23.71444752
Cambodia,KHM,18049954289,23.61640924
Senegal,SEN,17774766636,23.60104593
Iceland,ISL,17517210519,23.58644994
Syrian Arab Republic,SYR,16468399180,23.52470943
Bosnia and Herzegovina,BIH,16211541593,23.50898952
Mozambique,MOZ,15950969019,23.49278566
Georgia,GEO,14953950557,23.4282416
Haiti,HTI,14833154472,23.42013092
Lao PDR,LAO,14426381187,23.39232464
Gabon,GAB,14383107714,23.38932052
Jamaica,JAM,14188935948,23.37572858
West Bank and Gaza,PSE,13972400000,23.36035004
Botswana,BWA,13530738158,23.32823008
Equatorial Guinea,GNQ,13185496836,23.30238358
Mali,MLI,13104764334,23.29624193
Brunei Darussalam,BRN,12930394938,23.28284682
Nicaragua,NIC,12756706583,23.26932322
Mauritius,MUS,12007291046,23.20878013
South Sudan,SSD,11997800760,23.20798944
"Congo, Rep.",COG,11890259136,23.19898558
"Bahamas, The",BHS,11861900000,23.19659766
Burkina Faso,BFA,11832159276,23.19408727
Mongolia,MNG,11619892396,23.17598457
Benin,BEN,11388160997,23.15584039
Albania,ALB,11386850130,23.15572527
Namibia,NAM,11335179561,23.1511772
Madagascar,MDG,11323020829,23.15010397
Malta,MLT,11091423499,23.12943823
Chad,TCD,10950392220,23.11664135
Armenia,ARM,10553337673,23.07970826
North Macedonia,MKD,10064515432,23.03228199
Niger,NER,9683867894,22.99372747
Pacific island small states,PSS,9056069036,22.92670122
Guinea,GIN,8794202444,22.89735877
New Caledonia,NCL,8738205837,22.89097096
Rwanda,RWA,8539424910,22.86795974
Tajikistan,TJK,8271454301,22.83607642
Moldova,MDA,7745241913,22.77034478
Isle of Man,IMN,7085288006,22.6812866
Kyrgyz Republic,KGZ,6678178340,22.62211132
